character	index	digits	pdf_page
觜	7515	2121353535112	379
䣘	7516	2434525112152	379
暕	7517	2511125431234	380
鹍	7518	2511151535451	380
𫫇	7519	2511224314544	381
㬊	7520	2511344311354	381
暅	7521	2511442125111	382
跱	7522	2512121121124	382
蜐	7523	2512141215453	384
蜎	7524	2512142512511	384
嵲	7525	2523251111234	386
赗	7526	2534251125111	386
骱	7527	2554525113432	386
锖	7528	3111511212511	387
𫓹	7529	3111512211134	387
锘	7530	3111512213251	387
锳	7531	3111512225134	387
锧	7532	3111533122534	388
锪	7533	3111535334544	388
𬭚	7534	3111541251521	388
锫	7535	3111541431251	388
锬	7536	3111543344334	388
𬭛	7537	3111544153254	388
稑	7538	3123412134121	389
稙	7539	3123412251111	389
䅟	7540	3123454134333	390
𬕂	7541	3143141212534	390
筻	7542	3143141251134	390
筼	7543	3143142512534	390
筶	7544	3143143121251	390
筦	7545	3143144451135	391
筤	7546	3143144511534	391
傺	7547	3235445411234	392
鹎	7548	3251131235451	392
僇	7549	3254154134333	392
艅	7550	3354143411234	392
艉	7551	3354145133115	392
谼	7552	3434251122134	393
貆	7553	3443533125111	393
腽	7554	3511251125221	394
腨	7555	3511252132522	394
腯	7556	3511331225111	394
鲉	7557	3525121125121	395
鲊	7558	3525121131211	395
鲌	7559	3525121132511	395
䲟	7560	3525121135152	395
𬶋	7561	3525121135251	395
𬶍	7562	3525121144535	396
鲏	7563	3525121153254	396
雊	7564	3525132411121	396
猺	7565	3533443311252	396
飔	7566	3534251214544	396
觟	7567	3535112121121	396
𦝼	7568	3511431234531	394
馌	7569	3551215425221	397
裛	7570	4125152153534	397
廒	7571	4131121533134	397
瘀	7572	4134141533444	398
瘅	7573	4134143251112	398
鄘	7574	4135112511252	399
鹒	7575	4135113435451	399
鄜	7576	4135221151552	399
麀	7577	4135221153535	399
鄣	7578	4143125111252	399
阘	7579	4252511541541	400
𫔶	7580	4253251111234	400
煁	7581	4334122111345	401
煃	7582	4334134121121	401
煴	7583	4334251125221	401
煋	7584	4334251131121	401
煟	7585	4334251212511	401
煓	7586	4334252132522	401
滠	7587	4411221115454	402
溍	7588	4411224312511	402
溹	7589	4411245554234	402
滆	7590	4411251254312	403
滉	7591	4412511243135	403
溦	7592	4412521353134	403
溵	7593	4413351153554	404
漷	7594	4414125152152	404
滧	7595	4414134343134	404
滘	7596	4414534121251	405
滍	7597	4415221251214	405
愭	7598	4421213352511	405
慥	7599	4423121251454	406
慆	7600	4423443321511	406
塱	7601	4511543511121	407
𫌀	7602	4523411212534	407
裼	7603	4523425113533	407
禋	7604	4524125221121	408
禔	7605	4524251112134	408
禘	7606	4524414345252	408
禒	7607	4524551353334	408
谫	7608	4543125112253	408
鹔	7609	5112323435451	408
𫖳	7610	5113251132534	408
愍	7611	5151531344544	408
嫄	7612	5311332511234	409
媱	7613	5313443311252	409
戤	7614	5354252211534	409
勠	7615	5415413433353	410
戣	7616	5433411341534	410
𫘪	7617	5511332511234	410
𫘬	7618	5513443554134	410
缞	7619	5514125113534	410
耤	7620	11123412212511	411
瑧	7621	11211113431234	411
𫞩	7622	11211221253434	411
瑨	7623	11211224312511	411
瑱	7624	11211225111134	411
瑷	7625	11213443451354	412
瑢	7626	11214453434251	412
斠	7627	11221252114412	412
摏	7628	12111134321511	413
墕	7629	12112121154444	413
墈	7630	12112211134553	413
墐	7631	12112212511121	413
墘	7632	12112251112315	413
摴	7633	12114524444115	413
銎	7634	12135434112431	414
𡐓	7635	12141351124134	414
墚	7636	12144153441234	415
撖	7637	12151221113134	415
𪤗	7638	12154154134333	415
靽	7639	12212511243112	416
鞁	7640	12212511253254	416
蔌	7641	12212512343534	416
蔈	7642	12212522111234	416
蓰	7643	12233221212134	416
蔹	7644	12234144313134	417
蔊	7645	12243342511112	417
嘏	7646	12251512115154	418
榰	7647	12341213352511	418
榑	7648	12341251124124	418
槚	7649	12341252212534	418
𣗋	7650	12342434525135	418
槜	7651	12343241112153	419
榍	7652	12345132432511	419
疐	7653	12452512152134	420
𬸘	7654	12511531535451	420
酺	7655	12535111251124	420
酾	7656	12535111254254	420
酲	7657	12535112511121	420
酴	7658	12535113411234	420
碶	7659	13251111253134	421
䃎	7660	13251134354354	421
𬒗	7661	13251223142535	421
碨	7662	13251251211534	421
𥔲	7663	13251251251115	421
碹	7664	13251445125111	422
碥	7665	13251451325122	422
劂	7666	13431523353422	422
𫚖	7667	21213535251211	423
䴗	7668	25111134435451	423
夥	7669	25111234354354	423
瞍	7670	25111321511254	424
鹖	7671	25113534535451	424
㬎	7672	25115545544444	425
跽	7673	25121215154544	425
蜾	7674	25121425111234	425
幖	7675	25212522111234	427
嶍	7676	25254154132511	427
圙	7677	25341325221111	427
𨱏	7678	31115122341251	428
锺	7679	31115312511211	428
锼	7680	31115321511254	428
锽	7681	31115325111121	429
𬭤	7682	31115325131134	429
锾	7683	31115344311354	429
